,RFrac,InitialTumourSize,Cost,Turnover,ReplicateId,Time,TreatmentBranch,TTP_CT_CA,TTP_AT50_CA,AbsTimeGained_CA,RelTimeGained_CA,MaxNCycles,FinalSize_R_CT,FinalSize_R_AT,NNests,InitialMeanDist,MeanConvexity
0,0.001,0.25,0.0,0.0,0,150,MTD,,,,,2.0,304.0,255.0,3,,0.8547793461512291
1,0.001,0.25,0.0,0.0,0,250,MTD,,,,,2.0,304.0,255.0,3,,0.7571100908866413
2,0.001,0.25,0.0,0.0,0,150,AT50,,,,,2.0,304.0,255.0,3,,0.7931032900394633
3,0.001,0.25,0.0,0.0,0,250,AT50,,,,,2.0,304.0,255.0,3,,0.7566496740227535
4,0.001,0.25,0.0,0.0,1,150,MTD,,,,,2.0,454.0,224.0,3,,0.8317648603023033
5,0.001,0.25,0.0,0.0,1,250,MTD,,,,,2.0,454.0,224.0,3,,0.7855102275821281
6,0.001,0.25,0.0,0.0,1,150,AT50,,,,,2.0,454.0,224.0,3,,0.8522319705576614
7,0.001,0.25,0.0,0.0,1,250,AT50,,,,,2.0,454.0,224.0,3,,0.7405296085132712
8,0.001,0.25,0.0,0.0,2,150,MTD,,,,,3.0,189.0,123.0,3,,0.8668593089871445
9,0.001,0.25,0.0,0.0,2,250,MTD,,,,,3.0,189.0,123.0,3,,0.8492882779092978
10,0.001,0.25,0.0,0.0,2,150,AT50,,,,,3.0,189.0,123.0,3,,0.9066062298143228
11,0.001,0.25,0.0,0.0,2,250,AT50,,,,,3.0,189.0,123.0,3,,0.7560342072248084
12,0.001,0.25,0.0,0.0,3,150,MTD,,,,,2.0,255.0,193.0,3,,0.8506963465452612
13,0.001,0.25,0.0,0.0,3,250,MTD,,,,,2.0,255.0,193.0,3,,0.7869053840393953
14,0.001,0.25,0.0,0.0,3,150,AT50,,,,,2.0,255.0,193.0,3,,0.8977551934361712
15,0.001,0.25,0.0,0.0,3,250,AT50,,,,,2.0,255.0,193.0,3,,0.7871758288282124
16,0.001,0.25,0.0,0.0,4,150,MTD,,,,,2.0,349.0,138.0,3,,0.853972672138887
17,0.001,0.25,0.0,0.0,4,250,MTD,,,,,2.0,349.0,138.0,2,,0.6661157338272097
18,0.001,0.25,0.0,0.0,4,150,AT50,,,,,2.0,349.0,138.0,3,,0.9325174131063401
19,0.001,0.25,0.0,0.0,4,250,AT50,,,,,2.0,349.0,138.0,3,,0.7502047584609532
20,0.001,0.25,0.0,0.0,5,150,MTD,,,,,3.0,348.0,189.0,3,,0.7888703743988849
21,0.001,0.25,0.0,0.0,5,250,MTD,,,,,3.0,348.0,189.0,3,,0.7449506224704271
22,0.001,0.25,0.0,0.0,5,150,AT50,,,,,3.0,348.0,189.0,3,,0.8601500065087335
23,0.001,0.25,0.0,0.0,5,250,AT50,,,,,3.0,348.0,189.0,3,,0.7475323628213498
24,0.001,0.25,0.0,0.0,6,150,MTD,,,,,2.0,440.0,305.0,3,,0.8134365277375166
25,0.001,0.25,0.0,0.0,6,250,MTD,,,,,2.0,440.0,305.0,3,,0.7373282045266193
26,0.001,0.25,0.0,0.0,6,150,AT50,,,,,2.0,440.0,305.0,3,,0.7736886729567042
27,0.001,0.25,0.0,0.0,6,250,AT50,,,,,2.0,440.0,305.0,3,,0.6880498264391771
28,0.001,0.25,0.0,0.0,7,150,MTD,,,,,2.0,265.0,320.0,3,,0.8601408426897089
29,0.001,0.25,0.0,0.0,7,250,MTD,,,,,2.0,265.0,320.0,3,,0.7741584177562556
30,0.001,0.25,0.0,0.0,7,150,AT50,,,,,2.0,265.0,320.0,3,,0.7851249898745903
31,0.001,0.25,0.0,0.0,7,250,AT50,,,,,2.0,265.0,320.0,3,,0.6715062086276836
32,0.001,0.25,0.0,0.0,8,150,MTD,,,,,2.0,147.0,169.0,3,,0.9177357299754285
33,0.001,0.25,0.0,0.0,8,250,MTD,,,,,2.0,147.0,169.0,3,,0.7970639609979419
34,0.001,0.25,0.0,0.0,8,150,AT50,,,,,2.0,147.0,169.0,3,,0.9291939428470656
35,0.001,0.25,0.0,0.0,8,250,AT50,,,,,2.0,147.0,169.0,3,,0.8075690831245591
36,0.001,0.25,0.0,0.0,9,150,MTD,,,,,3.0,225.0,116.0,3,,0.9275277033474859
37,0.001,0.25,0.0,0.0,9,250,MTD,,,,,3.0,225.0,116.0,3,,0.7459282420204918
38,0.001,0.25,0.0,0.0,9,150,AT50,,,,,3.0,225.0,116.0,3,,0.9183659140559516
39,0.001,0.25,0.0,0.0,9,250,AT50,,,,,3.0,225.0,116.0,3,,0.8139933092258653
40,0.001,0.25,0.0,0.0,10,150,MTD,,,,,2.0,284.0,203.0,3,,0.8205588383119026
41,0.001,0.25,0.0,0.0,10,250,MTD,,,,,2.0,284.0,203.0,3,,0.8365474589380396
42,0.001,0.25,0.0,0.0,10,150,AT50,,,,,2.0,284.0,203.0,3,,0.8557281013844996
43,0.001,0.25,0.0,0.0,10,250,AT50,,,,,2.0,284.0,203.0,3,,0.7579398740786628
44,0.001,0.25,0.0,0.0,11,150,MTD,,,,,2.0,384.0,204.0,3,,0.8325919174674103
45,0.001,0.25,0.0,0.0,11,250,MTD,,,,,2.0,384.0,204.0,3,,0.7307057193996885
46,0.001,0.25,0.0,0.0,11,150,AT50,,,,,2.0,384.0,204.0,3,,0.8389883478008179
47,0.001,0.25,0.0,0.0,11,250,AT50,,,,,2.0,384.0,204.0,3,,0.7058098312995038
48,0.001,0.25,0.0,0.0,12,150,MTD,,,,,2.0,298.0,159.0,3,,0.8503841224548836
49,0.001,0.25,0.0,0.0,12,250,MTD,,,,,2.0,298.0,159.0,3,,0.7988403559517421
50,0.001,0.25,0.0,0.0,12,150,AT50,,,,,2.0,298.0,159.0,3,,0.8674942836122298
51,0.001,0.25,0.0,0.0,12,250,AT50,,,,,2.0,298.0,159.0,3,,0.7365681506301315
52,0.001,0.25,0.0,0.0,13,150,MTD,,,,,3.0,294.0,60.0,3,,0.8673294756020775
53,0.001,0.25,0.0,0.0,13,250,MTD,,,,,3.0,294.0,60.0,3,,0.7537877925541498
54,0.001,0.25,0.0,0.0,13,150,AT50,,,,,3.0,294.0,60.0,3,,0.9629062253808481
55,0.001,0.25,0.0,0.0,13,250,AT50,,,,,3.0,294.0,60.0,3,,0.8780711793468896
56,0.001,0.25,0.0,0.0,14,150,MTD,,,,,3.0,247.0,93.0,3,,0.8529280679637696
57,0.001,0.25,0.0,0.0,14,250,MTD,,,,,3.0,247.0,93.0,3,,0.7962560094256256
58,0.001,0.25,0.0,0.0,14,150,AT50,,,,,3.0,247.0,93.0,3,,0.9254839016664795
59,0.001,0.25,0.0,0.0,14,250,AT50,,,,,3.0,247.0,93.0,3,,0.8350409673726639
60,0.001,0.25,0.0,0.0,15,150,MTD,,,,,2.0,197.0,240.0,3,,0.877254753366621
61,0.001,0.25,0.0,0.0,15,250,MTD,,,,,2.0,197.0,240.0,3,,0.8325718149471765
62,0.001,0.25,0.0,0.0,15,150,AT50,,,,,2.0,197.0,240.0,3,,0.8630298268675566
63,0.001,0.25,0.0,0.0,15,250,AT50,,,,,2.0,197.0,240.0,3,,0.7256103992572761
64,0.001,0.25,0.0,0.0,16,150,MTD,,,,,2.0,266.0,139.0,3,,0.8700172392482918
65,0.001,0.25,0.0,0.0,16,250,MTD,,,,,2.0,266.0,139.0,3,,0.763186527821845
66,0.001,0.25,0.0,0.0,16,150,AT50,,,,,2.0,266.0,139.0,3,,0.8953750022879232
67,0.001,0.25,0.0,0.0,16,250,AT50,,,,,2.0,266.0,139.0,3,,0.7635167113281943
68,0.001,0.25,0.0,0.0,17,150,MTD,,,,,2.0,360.0,196.0,3,,0.8207412692396558
69,0.001,0.25,0.0,0.0,17,250,MTD,,,,,2.0,360.0,196.0,3,,0.7619901205686541
70,0.001,0.25,0.0,0.0,17,150,AT50,,,,,2.0,360.0,196.0,3,,0.8564411126455281
71,0.001,0.25,0.0,0.0,17,250,AT50,,,,,2.0,360.0,196.0,3,,0.7170157011731683
72,0.001,0.25,0.0,0.0,18,150,MTD,,,,,2.0,288.0,126.0,3,,0.850341696576944
73,0.001,0.25,0.0,0.0,18,250,MTD,,,,,2.0,288.0,126.0,3,,0.8547678845544956
74,0.001,0.25,0.0,0.0,18,150,AT50,,,,,2.0,288.0,126.0,3,,0.9330579334618777
75,0.001,0.25,0.0,0.0,18,250,AT50,,,,,2.0,288.0,126.0,3,,0.8528336430094611
76,0.001,0.25,0.0,0.0,19,150,MTD,,,,,2.0,314.0,151.0,3,,0.8112616942059953
77,0.001,0.25,0.0,0.0,19,250,MTD,,,,,2.0,314.0,151.0,3,,0.7337939858680059
78,0.001,0.25,0.0,0.0,19,150,AT50,,,,,2.0,314.0,151.0,3,,0.8900339492883395
79,0.001,0.25,0.0,0.0,19,250,AT50,,,,,2.0,314.0,151.0,3,,0.7782620296589343
80,0.001,0.25,0.0,0.0,20,150,MTD,,,,,2.0,424.0,210.0,3,,0.8037025639110161
81,0.001,0.25,0.0,0.0,20,250,MTD,,,,,2.0,424.0,210.0,3,,0.7867447116803578
82,0.001,0.25,0.0,0.0,20,150,AT50,,,,,2.0,424.0,210.0,3,,0.8293604403735017
83,0.001,0.25,0.0,0.0,20,250,AT50,,,,,2.0,424.0,210.0,3,,0.7588083683064643
84,0.001,0.25,0.0,0.0,21,150,MTD,,,,,2.0,233.0,151.0,3,,0.8162363467595437
85,0.001,0.25,0.0,0.0,21,250,MTD,,,,,2.0,233.0,151.0,3,,0.7199948950045334
86,0.001,0.25,0.0,0.0,21,150,AT50,,,,,2.0,233.0,151.0,3,,0.8661748144553068
87,0.001,0.25,0.0,0.0,21,250,AT50,,,,,2.0,233.0,151.0,3,,0.7395355172736605
88,0.001,0.25,0.0,0.0,22,150,MTD,,,,,3.0,325.0,145.0,3,,0.8539006744151868
89,0.001,0.25,0.0,0.0,22,250,MTD,,,,,3.0,325.0,145.0,3,,0.7610565309601293
90,0.001,0.25,0.0,0.0,22,150,AT50,,,,,3.0,325.0,145.0,3,,0.8824313427041712
91,0.001,0.25,0.0,0.0,22,250,AT50,,,,,3.0,325.0,145.0,3,,0.744285645251827
92,0.001,0.25,0.0,0.0,23,150,MTD,,,,,2.0,201.0,115.0,3,,0.8833262614516549
93,0.001,0.25,0.0,0.0,23,250,MTD,,,,,2.0,201.0,115.0,3,,0.8513496877018033
94,0.001,0.25,0.0,0.0,23,150,AT50,,,,,2.0,201.0,115.0,3,,0.8816746380585988
95,0.001,0.25,0.0,0.0,23,250,AT50,,,,,2.0,201.0,115.0,3,,0.7963350436555311
96,0.001,0.25,0.0,0.0,24,150,MTD,,,,,2.0,302.0,251.0,2,,0.7734546808896483
97,0.001,0.25,0.0,0.0,24,250,MTD,,,,,2.0,302.0,251.0,2,,0.7057965845508807
98,0.001,0.25,0.0,0.0,24,150,AT50,,,,,2.0,302.0,251.0,2,,0.8056010688446953
99,0.001,0.25,0.0,0.0,24,250,AT50,,,,,2.0,302.0,251.0,2,,0.7235635901599928
100,0.001,0.25,0.0,0.0,25,150,MTD,,,,,2.0,345.0,307.0,3,,0.8263775487778763
101,0.001,0.25,0.0,0.0,25,250,MTD,,,,,2.0,345.0,307.0,3,,0.7354319766125149
102,0.001,0.25,0.0,0.0,25,150,AT50,,,,,2.0,345.0,307.0,3,,0.8655805359548415
103,0.001,0.25,0.0,0.0,25,250,AT50,,,,,2.0,345.0,307.0,3,,0.7058621745095196
104,0.001,0.25,0.0,0.0,26,150,MTD,,,,,2.0,243.0,175.0,3,,0.8582486361584118
105,0.001,0.25,0.0,0.0,26,250,MTD,,,,,2.0,243.0,175.0,3,,0.7533405348301624
106,0.001,0.25,0.0,0.0,26,150,AT50,,,,,2.0,243.0,175.0,3,,0.8792100770717738
107,0.001,0.25,0.0,0.0,26,250,AT50,,,,,2.0,243.0,175.0,3,,0.8217177697279436
108,0.001,0.25,0.0,0.0,27,150,MTD,,,,,2.0,238.0,210.0,3,,0.9087862565700854
109,0.001,0.25,0.0,0.0,27,250,MTD,,,,,2.0,238.0,210.0,3,,0.7906646968495261
110,0.001,0.25,0.0,0.0,27,150,AT50,,,,,2.0,238.0,210.0,3,,0.885402344339015
111,0.001,0.25,0.0,0.0,27,250,AT50,,,,,2.0,238.0,210.0,3,,0.7118689293007182
112,0.001,0.25,0.0,0.0,28,150,MTD,,,,,2.0,307.0,217.0,3,,0.8047110113830863
113,0.001,0.25,0.0,0.0,28,250,MTD,,,,,2.0,307.0,217.0,3,,0.7036127199455198
114,0.001,0.25,0.0,0.0,28,150,AT50,,,,,2.0,307.0,217.0,3,,0.813903225648537
115,0.001,0.25,0.0,0.0,28,250,AT50,,,,,2.0,307.0,217.0,3,,0.7096344433234506
116,0.001,0.25,0.0,0.0,29,150,MTD,,,,,2.0,272.0,221.0,3,,0.8400437616927015
117,0.001,0.25,0.0,0.0,29,250,MTD,,,,,2.0,272.0,221.0,3,,0.7577552759921836
118,0.001,0.25,0.0,0.0,29,150,AT50,,,,,2.0,272.0,221.0,3,,0.8228909773253724
119,0.001,0.25,0.0,0.0,29,250,AT50,,,,,2.0,272.0,221.0,3,,0.7746950668854947
120,0.001,0.25,0.0,0.0,30,150,MTD,,,,,3.0,282.0,145.0,3,,0.8765446765782858
121,0.001,0.25,0.0,0.0,30,250,MTD,,,,,3.0,282.0,145.0,3,,0.7559058634940133
122,0.001,0.25,0.0,0.0,30,150,AT50,,,,,3.0,282.0,145.0,3,,0.8455738056429333
123,0.001,0.25,0.0,0.0,30,250,AT50,,,,,3.0,282.0,145.0,3,,0.7717079901958762
124,0.001,0.25,0.0,0.0,31,150,MTD,,,,,2.0,321.0,237.0,3,,0.8245321873675051
125,0.001,0.25,0.0,0.0,31,250,MTD,,,,,2.0,321.0,237.0,3,,0.7480864770600126
126,0.001,0.25,0.0,0.0,31,150,AT50,,,,,2.0,321.0,237.0,3,,0.8413325014235987
127,0.001,0.25,0.0,0.0,31,250,AT50,,,,,2.0,321.0,237.0,3,,0.7437198245632768
128,0.001,0.25,0.0,0.0,32,150,MTD,,,,,2.0,232.0,158.0,3,,0.8844851168948198
129,0.001,0.25,0.0,0.0,32,250,MTD,,,,,2.0,232.0,158.0,3,,0.7681734830714522
130,0.001,0.25,0.0,0.0,32,150,AT50,,,,,2.0,232.0,158.0,3,,0.8921428013951905
131,0.001,0.25,0.0,0.0,32,250,AT50,,,,,2.0,232.0,158.0,3,,0.7888007323788492
132,0.001,0.25,0.0,0.0,33,150,MTD,,,,,2.0,247.0,203.0,3,,0.8661955359497341
133,0.001,0.25,0.0,0.0,33,250,MTD,,,,,2.0,247.0,203.0,3,,0.7657869081188489
134,0.001,0.25,0.0,0.0,33,150,AT50,,,,,2.0,247.0,203.0,3,,0.8950992447645731
135,0.001,0.25,0.0,0.0,33,250,AT50,,,,,2.0,247.0,203.0,3,,0.7586529317282595
136,0.001,0.25,0.0,0.0,34,150,MTD,,,,,2.0,286.0,176.0,3,,0.8468245001484246
137,0.001,0.25,0.0,0.0,34,250,MTD,,,,,2.0,286.0,176.0,3,,0.788370730892718
138,0.001,0.25,0.0,0.0,34,150,AT50,,,,,2.0,286.0,176.0,3,,0.8735281258947792
139,0.001,0.25,0.0,0.0,34,250,AT50,,,,,2.0,286.0,176.0,3,,0.6899722602478949
140,0.001,0.25,0.0,0.0,35,150,MTD,,,,,2.0,249.0,207.0,3,,0.877583751445005
141,0.001,0.25,0.0,0.0,35,250,MTD,,,,,2.0,249.0,207.0,3,,0.7675167194438047
142,0.001,0.25,0.0,0.0,35,150,AT50,,,,,2.0,249.0,207.0,3,,0.8853688177184904
143,0.001,0.25,0.0,0.0,35,250,AT50,,,,,2.0,249.0,207.0,3,,0.7393987798147994
144,0.001,0.25,0.0,0.0,36,150,MTD,,,,,2.0,355.0,267.0,3,,0.8408305976398761
145,0.001,0.25,0.0,0.0,36,250,MTD,,,,,2.0,355.0,267.0,3,,0.793965107101467
146,0.001,0.25,0.0,0.0,36,150,AT50,,,,,2.0,355.0,267.0,3,,0.7936047119282016
147,0.001,0.25,0.0,0.0,36,250,AT50,,,,,2.0,355.0,267.0,3,,0.6975962183982634
148,0.001,0.25,0.0,0.0,37,150,MTD,,,,,2.0,184.0,223.0,3,,0.9017308171237005
149,0.001,0.25,0.0,0.0,37,250,MTD,,,,,2.0,184.0,223.0,3,,0.84931171174759
150,0.001,0.25,0.0,0.0,37,150,AT50,,,,,2.0,184.0,223.0,3,,0.8404389855952563
151,0.001,0.25,0.0,0.0,37,250,AT50,,,,,2.0,184.0,223.0,3,,0.7584037893806647
152,0.001,0.25,0.0,0.0,38,150,MTD,,,,,2.0,195.0,185.0,3,,0.9033099659570861
153,0.001,0.25,0.0,0.0,38,250,MTD,,,,,2.0,195.0,185.0,3,,0.7857784786228484
154,0.001,0.25,0.0,0.0,38,150,AT50,,,,,2.0,195.0,185.0,3,,0.8912894254870264
155,0.001,0.25,0.0,0.0,38,250,AT50,,,,,2.0,195.0,185.0,3,,0.7970486194411849
156,0.001,0.25,0.0,0.0,39,150,MTD,,,,,2.0,210.0,247.0,3,,0.8911367038923492
157,0.001,0.25,0.0,0.0,39,250,MTD,,,,,2.0,210.0,247.0,3,,0.8037300381121875
158,0.001,0.25,0.0,0.0,39,150,AT50,,,,,2.0,210.0,247.0,3,,0.8347249432090469
159,0.001,0.25,0.0,0.0,39,250,AT50,,,,,2.0,210.0,247.0,3,,0.7581584302622438
160,0.001,0.25,0.0,0.0,40,150,MTD,,,,,3.0,213.0,201.0,3,,0.8881194155957433
