TIdx,Time,NCells_S,NCells_R,NCells,DrugConcentration,rS,rR,mS,mR,dS,dR,dD,dt,NCycles,NAttemptedDivs,NFailedDivs,NDeaths,ReplicateId,InitSize,RFrac,TxName,Cost
0.0,0.0,8905.0,41.0,8946.0,0.0,0.027,0.0032628324043076835,0.0,0.0,1.9812127824531256E-4,1.9812127824531256E-4,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.8946019928115911,0.004475910803613263,0.0,0.8791543553960117
1.0,1.0,8852.0,42.0,8894.0,1.0,0.027,0.0032628324043076835,0.0,0.0,1.9812127824531256E-4,1.9812127824531256E-4,0.75,1.0,0.0,1.0,0.0,0.0,0.0,0.8946019928115911,0.004475910803613263,0.0,0.8791543553960117
2.0,2.0,8813.0,42.0,8855.0,1.0,0.027,0.0032628324043076835,0.0,0.0,1.9812127824531256E-4,1.9812127824531256E-4,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.8946019928115911,0.004475910803613263,0.0,0.8791543553960117
3.0,3.0,8764.0,42.0,8806.0,1.0,0.027,0.0032628324043076835,0.0,0.0,1.9812127824531256E-4,1.9812127824531256E-4,0.75,1.0,0.0,1.0,1.0,0.0,0.0,0.8946019928115911,0.004475910803613263,0.0,0.8791543553960117
4.0,4.0,8710.0,42.0,8752.0,1.0,0.027,0.0032628324043076835,0.0,0.0,1.9812127824531256E-4,1.9812127824531256E-4,0.75,1.0,0.0,1.0,1.0,0.0,0.0,0.8946019928115911,0.004475910803613263,0.0,0.8791543553960117
5.0,5.0,8646.0,42.0,8688.0,1.0,0.027,0.0032628324043076835,0.0,0.0,1.9812127824531256E-4,1.9812127824531256E-4,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.8946019928115911,0.004475910803613263,0.0,0.8791543553960117
6.0,6.0,8604.0,41.0,8645.0,1.0,0.027,0.0032628324043076835,0.0,0.0,1.9812127824531256E-4,1.9812127824531256E-4,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.8946019928115911,0.004475910803613263,0.0,0.8791543553960117
7.0,7.0,8563.0,41.0,8604.0,1.0,0.027,0.0032628324043076835,0.0,0.0,1.9812127824531256E-4,1.9812127824531256E-4,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.8946019928115911,0.004475910803613263,0.0,0.8791543553960117
8.0,8.0,8523.0,41.0,8564.0,1.0,0.027,0.0032628324043076835,0.0,0.0,1.9812127824531256E-4,1.9812127824531256E-4,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.8946019928115911,0.004475910803613263,0.0,0.8791543553960117
9.0,9.0,8476.0,40.0,8516.0,1.0,0.027,0.0032628324043076835,0.0,0.0,1.9812127824531256E-4,1.9812127824531256E-4,0.75,1.0,0.0,1.0,1.0,1.0,0.0,0.8946019928115911,0.004475910803613263,0.0,0.8791543553960117
10.0,10.0,8420.0,40.0,8460.0,1.0,0.027,0.0032628324043076835,0.0,0.0,1.9812127824531256E-4,1.9812127824531256E-4,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.8946019928115911,0.004475910803613263,0.0,0.8791543553960117
11.0,11.0,8370.0,40.0,8410.0,1.0,0.027,0.0032628324043076835,0.0,0.0,1.9812127824531256E-4,1.9812127824531256E-4,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.8946019928115911,0.004475910803613263,0.0,0.8791543553960117
12.0,12.0,8300.0,41.0,8341.0,1.0,0.027,0.0032628324043076835,0.0,0.0,1.9812127824531256E-4,1.9812127824531256E-4,0.75,1.0,0.0,1.0,0.0,0.0,0.0,0.8946019928115911,0.004475910803613263,0.0,0.8791543553960117
13.0,13.0,8253.0,41.0,8294.0,1.0,0.027,0.0032628324043076835,0.0,0.0,1.9812127824531256E-4,1.9812127824531256E-4,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.8946019928115911,0.004475910803613263,0.0,0.8791543553960117
14.0,14.0,8201.0,41.0,8242.0,1.0,0.027,0.0032628324043076835,0.0,0.0,1.9812127824531256E-4,1.9812127824531256E-4,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.8946019928115911,0.004475910803613263,0.0,0.8791543553960117
15.0,15.0,8152.0,42.0,8194.0,1.0,0.027,0.0032628324043076835,0.0,0.0,1.9812127824531256E-4,1.9812127824531256E-4,0.75,1.0,0.0,2.0,1.0,0.0,0.0,0.8946019928115911,0.004475910803613263,0.0,0.8791543553960117
16.0,16.0,8089.0,42.0,8131.0,1.0,0.027,0.0032628324043076835,0.0,0.0,1.9812127824531256E-4,1.9812127824531256E-4,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.8946019928115911,0.004475910803613263,0.0,0.8791543553960117
17.0,17.0,8043.0,43.0,8086.0,1.0,0.027,0.0032628324043076835,0.0,0.0,1.9812127824531256E-4,1.9812127824531256E-4,0.75,1.0,0.0,1.0,0.0,0.0,0.0,0.8946019928115911,0.004475910803613263,0.0,0.8791543553960117
18.0,18.0,8007.0,43.0,8050.0,1.0,0.027,0.0032628324043076835,0.0,0.0,1.9812127824531256E-4,1.9812127824531256E-4,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.8946019928115911,0.004475910803613263,0.0,0.8791543553960117
19.0,19.0,7981.0,43.0,8024.0,1.0,0.027,0.0032628324043076835,0.0,0.0,1.9812127824531256E-4,1.9812127824531256E-4,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.8946019928115911,0.004475910803613263,0.0,0.8791543553960117
20.0,20.0,7928.0,44.0,7972.0,1.0,0.027,0.0032628324043076835,0.0,0.0,1.9812127824531256E-4,1.9812127824531256E-4,0.75,1.0,0.0,1.0,0.0,0.0,0.0,0.8946019928115911,0.004475910803613263,0.0,0.8791543553960117
21.0,21.0,7861.0,45.0,7906.0,1.0,0.027,0.0032628324043076835,0.0,0.0,1.9812127824531256E-4,1.9812127824531256E-4,0.75,1.0,0.0,1.0,0.0,0.0,0.0,0.8946019928115911,0.004475910803613263,0.0,0.8791543553960117
22.0,22.0,7811.0,45.0,7856.0,1.0,0.027,0.0032628324043076835,0.0,0.0,1.9812127824531256E-4,1.9812127824531256E-4,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.8946019928115911,0.004475910803613263,0.0,0.8791543553960117
23.0,23.0,7766.0,45.0,7811.0,1.0,0.027,0.0032628324043076835,0.0,0.0,1.9812127824531256E-4,1.9812127824531256E-4,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.8946019928115911,0.004475910803613263,0.0,0.8791543553960117
24.0,24.0,7715.0,45.0,7760.0,1.0,0.027,0.0032628324043076835,0.0,0.0,1.9812127824531256E-4,1.9812127824531256E-4,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.8946019928115911,0.004475910803613263,0.0,0.8791543553960117
25.0,25.0,7663.0,45.0,7708.0,1.0,0.027,0.0032628324043076835,0.0,0.0,1.9812127824531256E-4,1.9812127824531256E-4,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.8946019928115911,0.004475910803613263,0.0,0.8791543553960117
26.0,26.0,7602.0,46.0,7648.0,1.0,0.027,0.0032628324043076835,0.0,0.0,1.9812127824531256E-4,1.9812127824531256E-4,0.75,1.0,0.0,1.0,0.0,0.0,0.0,0.8946019928115911,0.004475910803613263,0.0,0.8791543553960117
27.0,27.0,7530.0,46.0,7576.0,1.0,0.027,0.0032628324043076835,0.0,0.0,1.9812127824531256E-4,1.9812127824531256E-4,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.8946019928115911,0.004475910803613263,0.0,0.8791543553960117
28.0,28.0,7489.0,46.0,7535.0,1.0,0.027,0.0032628324043076835,0.0,0.0,1.9812127824531256E-4,1.9812127824531256E-4,0.75,1.0,0.0,1.0,1.0,0.0,0.0,0.8946019928115911,0.004475910803613263,0.0,0.8791543553960117
29.0,29.0,7434.0,47.0,7481.0,1.0,0.027,0.0032628324043076835,0.0,0.0,1.9812127824531256E-4,1.9812127824531256E-4,0.75,1.0,0.0,1.0,0.0,0.0,0.0,0.8946019928115911,0.004475910803613263,0.0,0.8791543553960117
30.0,30.0,7377.0,47.0,7424.0,1.0,0.027,0.0032628324043076835,0.0,0.0,1.9812127824531256E-4,1.9812127824531256E-4,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.8946019928115911,0.004475910803613263,0.0,0.8791543553960117
31.0,31.0,7329.0,47.0,7376.0,1.0,0.027,0.0032628324043076835,0.0,0.0,1.9812127824531256E-4,1.9812127824531256E-4,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.8946019928115911,0.004475910803613263,0.0,0.8791543553960117
32.0,32.0,7280.0,47.0,7327.0,1.0,0.027,0.0032628324043076835,0.0,0.0,1.9812127824531256E-4,1.9812127824531256E-4,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.8946019928115911,0.004475910803613263,0.0,0.8791543553960117
33.0,33.0,7221.0,47.0,7268.0,1.0,0.027,0.0032628324043076835,0.0,0.0,1.9812127824531256E-4,1.9812127824531256E-4,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.8946019928115911,0.004475910803613263,0.0,0.8791543553960117
34.0,34.0,7161.0,47.0,7208.0,1.0,0.027,0.0032628324043076835,0.0,0.0,1.9812127824531256E-4,1.9812127824531256E-4,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.8946019928115911,0.004475910803613263,0.0,0.8791543553960117
35.0,35.0,7110.0,47.0,7157.0,1.0,0.027,0.0032628324043076835,0.0,0.0,1.9812127824531256E-4,1.9812127824531256E-4,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.8946019928115911,0.004475910803613263,0.0,0.8791543553960117
36.0,36.0,7073.0,47.0,7120.0,1.0,0.027,0.0032628324043076835,0.0,0.0,1.9812127824531256E-4,1.9812127824531256E-4,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.8946019928115911,0.004475910803613263,0.0,0.8791543553960117
37.0,37.0,7000.0,47.0,7047.0,1.0,0.027,0.0032628324043076835,0.0,0.0,1.9812127824531256E-4,1.9812127824531256E-4,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.8946019928115911,0.004475910803613263,0.0,0.8791543553960117
38.0,38.0,6957.0,47.0,7004.0,1.0,0.027,0.0032628324043076835,0.0,0.0,1.9812127824531256E-4,1.9812127824531256E-4,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.8946019928115911,0.004475910803613263,0.0,0.8791543553960117
39.0,39.0,6911.0,47.0,6958.0,1.0,0.027,0.0032628324043076835,0.0,0.0,1.9812127824531256E-4,1.9812127824531256E-4,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.8946019928115911,0.004475910803613263,0.0,0.8791543553960117
40.0,40.0,6863.0,47.0,6910.0,1.0,0.027,0.0032628324043076835,0.0,0.0,1.9812127824531256E-4,1.9812127824531256E-4,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.8946019928115911,0.004475910803613263,0.0,0.8791543553960117
41.0,41.0,6817.0,47.0,6864.0,1.0,0.027,0.0032628324043076835,0.0,0.0,1.9812127824531256E-4,1.9812127824531256E-4,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.8946019928115911,0.004475910803613263,0.0,0.8791543553960117
42.0,42.0,6769.0,47.0,6816.0,1.0,0.027,0.0032628324043076835,0.0,0.0,1.9812127824531256E-4,1.9812127824531256E-4,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.8946019928115911,0.004475910803613263,0.0,0.8791543553960117
43.0,43.0,6704.0,47.0,6751.0,1.0,0.027,0.0032628324043076835,0.0,0.0,1.9812127824531256E-4,1.9812127824531256E-4,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.8946019928115911,0.004475910803613263,0.0,0.8791543553960117
44.0,44.0,6654.0,47.0,6701.0,1.0,0.027,0.0032628324043076835,0.0,0.0,1.9812127824531256E-4,1.9812127824531256E-4,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.8946019928115911,0.004475910803613263,0.0,0.8791543553960117
45.0,45.0,6628.0,47.0,6675.0,1.0,0.027,0.0032628324043076835,0.0,0.0,1.9812127824531256E-4,1.9812127824531256E-4,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.8946019928115911,0.004475910803613263,0.0,0.8791543553960117
46.0,46.0,6566.0,47.0,6613.0,1.0,0.027,0.0032628324043076835,0.0,0.0,1.9812127824531256E-4,1.9812127824531256E-4,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.8946019928115911,0.004475910803613263,0.0,0.8791543553960117
47.0,47.0,6506.0,47.0,6553.0,1.0,0.027,0.0032628324043076835,0.0,0.0,1.9812127824531256E-4,1.9812127824531256E-4,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.8946019928115911,0.004475910803613263,0.0,0.8791543553960117
48.0,48.0,6436.0,47.0,6483.0,1.0,0.027,0.0032628324043076835,0.0,0.0,1.9812127824531256E-4,1.9812127824531256E-4,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.8946019928115911,0.004475910803613263,0.0,0.8791543553960117
49.0,49.0,6368.0,47.0,6415.0,1.0,0.027,0.0032628324043076835,0.0,0.0,1.9812127824531256E-4,1.9812127824531256E-4,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.8946019928115911,0.004475910803613263,0.0,0.8791543553960117
50.0,50.0,6322.0,47.0,6369.0,1.0,0.027,0.0032628324043076835,0.0,0.0,1.9812127824531256E-4,1.9812127824531256E-4,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.8946019928115911,0.004475910803613263,0.0,0.8791543553960117
51.0,51.0,6251.0,47.0,6298.0,1.0,0.027,0.0032628324043076835,0.0,0.0,1.9812127824531256E-4,1.9812127824531256E-4,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.8946019928115911,0.004475910803613263,0.0,0.8791543553960117
52.0,52.0,6198.0,47.0,6245.0,1.0,0.027,0.0032628324043076835,0.0,0.0,1.9812127824531256E-4,1.9812127824531256E-4,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.8946019928115911,0.004475910803613263,0.0,0.8791543553960117
53.0,53.0,6144.0,47.0,6191.0,1.0,0.027,0.0032628324043076835,0.0,0.0,1.9812127824531256E-4,1.9812127824531256E-4,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.8946019928115911,0.004475910803613263,0.0,0.8791543553960117
54.0,54.0,6105.0,47.0,6152.0,1.0,0.027,0.0032628324043076835,0.0,0.0,1.9812127824531256E-4,1.9812127824531256E-4,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.8946019928115911,0.004475910803613263,0.0,0.8791543553960117
55.0,55.0,6036.0,47.0,6083.0,1.0,0.027,0.0032628324043076835,0.0,0.0,1.9812127824531256E-4,1.9812127824531256E-4,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.8946019928115911,0.004475910803613263,0.0,0.8791543553960117
56.0,56.0,5972.0,47.0,6019.0,1.0,0.027,0.0032628324043076835,0.0,0.0,1.9812127824531256E-4,1.9812127824531256E-4,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.8946019928115911,0.004475910803613263,0.0,0.8791543553960117
