TIdx,Time,NCells_S,NCells_R,NCells,DrugConcentration,rS,rR,mS,mR,dS,dR,dD,dt,NCycles,NAttemptedDivs,NFailedDivs,NDeaths,ReplicateId,InitSize,RFrac,TxName,Cost
0.0,0.0,5681.0,219.0,5900.0,0.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,0.0,0.0,0.0,1.0,0.59,0.037,0.0,0.682131205917486
1.0,1.0,5588.0,224.0,5812.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,7.0,1.0,1.0,1.0,0.59,0.037,0.0,0.682131205917486
2.0,2.0,5495.0,225.0,5720.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,2.0,1.0,0.0,1.0,0.59,0.037,0.0,0.682131205917486
3.0,3.0,5412.0,228.0,5640.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,4.0,0.0,1.0,1.0,0.59,0.037,0.0,0.682131205917486
4.0,4.0,5324.0,230.0,5554.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,3.0,0.0,1.0,1.0,0.59,0.037,0.0,0.682131205917486
5.0,5.0,5233.0,228.0,5461.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,0.0,0.0,2.0,1.0,0.59,0.037,0.0,0.682131205917486
6.0,6.0,5144.0,227.0,5371.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,1.0,0.0,2.0,1.0,0.59,0.037,0.0,0.682131205917486
7.0,7.0,5071.0,228.0,5299.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,1.0,0.0,0.0,1.0,0.59,0.037,0.0,0.682131205917486
8.0,8.0,4999.0,230.0,5229.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,2.0,0.0,0.0,1.0,0.59,0.037,0.0,0.682131205917486
9.0,9.0,4909.0,230.0,5139.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,0.0,0.0,0.0,1.0,0.59,0.037,0.0,0.682131205917486
10.0,10.0,4808.0,231.0,5039.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,2.0,0.0,1.0,1.0,0.59,0.037,0.0,0.682131205917486
11.0,11.0,4733.0,233.0,4966.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,4.0,2.0,0.0,1.0,0.59,0.037,0.0,0.682131205917486
12.0,12.0,4655.0,232.0,4887.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,0.0,0.0,1.0,1.0,0.59,0.037,0.0,0.682131205917486
13.0,13.0,4586.0,230.0,4816.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,1.0,0.0,3.0,1.0,0.59,0.037,0.0,0.682131205917486
14.0,14.0,4503.0,231.0,4734.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,1.0,0.0,0.0,1.0,0.59,0.037,0.0,0.682131205917486
15.0,15.0,4421.0,233.0,4654.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,3.0,0.0,1.0,1.0,0.59,0.037,0.0,0.682131205917486
16.0,16.0,4358.0,233.0,4591.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,1.0,0.0,1.0,1.0,0.59,0.037,0.0,0.682131205917486
17.0,17.0,4282.0,235.0,4517.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,3.0,0.0,1.0,1.0,0.59,0.037,0.0,0.682131205917486
18.0,18.0,4226.0,236.0,4462.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,2.0,0.0,1.0,1.0,0.59,0.037,0.0,0.682131205917486
19.0,19.0,4170.0,236.0,4406.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,3.0,1.0,2.0,1.0,0.59,0.037,0.0,0.682131205917486
20.0,20.0,4103.0,239.0,4342.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,4.0,0.0,1.0,1.0,0.59,0.037,0.0,0.682131205917486
21.0,21.0,4035.0,237.0,4272.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,2.0,0.0,4.0,1.0,0.59,0.037,0.0,0.682131205917486
22.0,22.0,3960.0,238.0,4198.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,3.0,0.0,2.0,1.0,0.59,0.037,0.0,0.682131205917486
23.0,23.0,3901.0,237.0,4138.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,2.0,0.0,3.0,1.0,0.59,0.037,0.0,0.682131205917486
24.0,24.0,3834.0,237.0,4071.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,2.0,0.0,2.0,1.0,0.59,0.037,0.0,0.682131205917486
25.0,25.0,3764.0,236.0,4000.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,0.0,0.0,1.0,1.0,0.59,0.037,0.0,0.682131205917486
26.0,26.0,3699.0,236.0,3935.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,1.0,0.0,1.0,1.0,0.59,0.037,0.0,0.682131205917486
27.0,27.0,3647.0,238.0,3885.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,2.0,0.0,0.0,1.0,0.59,0.037,0.0,0.682131205917486
28.0,28.0,3578.0,240.0,3818.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,2.0,0.0,0.0,1.0,0.59,0.037,0.0,0.682131205917486
29.0,29.0,3526.0,242.0,3768.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,3.0,0.0,1.0,1.0,0.59,0.037,0.0,0.682131205917486
30.0,30.0,3462.0,241.0,3703.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,2.0,0.0,3.0,1.0,0.59,0.037,0.0,0.682131205917486
31.0,31.0,3416.0,247.0,3663.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,6.0,0.0,0.0,1.0,0.59,0.037,0.0,0.682131205917486
32.0,32.0,3346.0,248.0,3594.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,1.0,0.0,0.0,1.0,0.59,0.037,0.0,0.682131205917486
33.0,33.0,3287.0,249.0,3536.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,2.0,0.0,1.0,1.0,0.59,0.037,0.0,0.682131205917486
34.0,34.0,3219.0,250.0,3469.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,3.0,0.0,2.0,1.0,0.59,0.037,0.0,0.682131205917486
35.0,35.0,3177.0,252.0,3429.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,3.0,0.0,1.0,1.0,0.59,0.037,0.0,0.682131205917486
36.0,36.0,3116.0,251.0,3367.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,2.0,0.0,3.0,1.0,0.59,0.037,0.0,0.682131205917486
37.0,37.0,3068.0,252.0,3320.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,3.0,0.0,2.0,1.0,0.59,0.037,0.0,0.682131205917486
38.0,38.0,3016.0,254.0,3270.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,2.0,0.0,0.0,1.0,0.59,0.037,0.0,0.682131205917486
39.0,39.0,2955.0,253.0,3208.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,1.0,0.0,2.0,1.0,0.59,0.037,0.0,0.682131205917486
40.0,40.0,2913.0,256.0,3169.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,3.0,0.0,0.0,1.0,0.59,0.037,0.0,0.682131205917486
41.0,41.0,2862.0,256.0,3118.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,2.0,0.0,2.0,1.0,0.59,0.037,0.0,0.682131205917486
42.0,42.0,2804.0,258.0,3062.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,2.0,0.0,0.0,1.0,0.59,0.037,0.0,0.682131205917486
43.0,43.0,2743.0,260.0,3003.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,2.0,0.0,0.0,1.0,0.59,0.037,0.0,0.682131205917486
44.0,44.0,2701.0,261.0,2962.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,3.0,0.0,2.0,1.0,0.59,0.037,0.0,0.682131205917486
45.0,45.0,2637.0,264.0,2901.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,4.0,0.0,1.0,1.0,0.59,0.037,0.0,0.682131205917486
46.0,46.0,2583.0,262.0,2845.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,1.0,0.0,3.0,1.0,0.59,0.037,0.0,0.682131205917486
47.0,47.0,2525.0,261.0,2786.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,1.0,0.0,2.0,1.0,0.59,0.037,0.0,0.682131205917486
48.0,48.0,2479.0,260.0,2739.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,1.0,0.0,2.0,1.0,0.59,0.037,0.0,0.682131205917486
49.0,49.0,2435.0,261.0,2696.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,2.0,0.0,1.0,1.0,0.59,0.037,0.0,0.682131205917486
50.0,50.0,2400.0,262.0,2662.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,3.0,1.0,1.0,1.0,0.59,0.037,0.0,0.682131205917486
51.0,51.0,2365.0,266.0,2631.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,4.0,0.0,0.0,1.0,0.59,0.037,0.0,0.682131205917486
52.0,52.0,2326.0,265.0,2591.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,2.0,0.0,3.0,1.0,0.59,0.037,0.0,0.682131205917486
53.0,53.0,2286.0,264.0,2550.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,1.0,1.0,1.0,1.0,0.59,0.037,0.0,0.682131205917486
54.0,54.0,2251.0,266.0,2517.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,2.0,0.0,0.0,1.0,0.59,0.037,0.0,0.682131205917486
55.0,55.0,2206.0,268.0,2474.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,3.0,0.0,1.0,1.0,0.59,0.037,0.0,0.682131205917486
56.0,56.0,2160.0,266.0,2426.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,2.0,0.0,4.0,1.0,0.59,0.037,0.0,0.682131205917486
57.0,57.0,2125.0,270.0,2395.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,5.0,0.0,1.0,1.0,0.59,0.037,0.0,0.682131205917486
58.0,58.0,2094.0,272.0,2366.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,4.0,0.0,2.0,1.0,0.59,0.037,0.0,0.682131205917486
59.0,59.0,2054.0,273.0,2327.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,2.0,0.0,1.0,1.0,0.59,0.037,0.0,0.682131205917486
60.0,60.0,2019.0,274.0,2293.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,1.0,0.0,0.0,1.0,0.59,0.037,0.0,0.682131205917486
61.0,61.0,1988.0,277.0,2265.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,3.0,0.0,0.0,1.0,0.59,0.037,0.0,0.682131205917486
62.0,62.0,1956.0,276.0,2232.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,1.0,0.0,2.0,1.0,0.59,0.037,0.0,0.682131205917486
63.0,63.0,1938.0,275.0,2213.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,1.0,0.0,2.0,1.0,0.59,0.037,0.0,0.682131205917486
64.0,64.0,1886.0,280.0,2166.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,5.0,0.0,0.0,1.0,0.59,0.037,0.0,0.682131205917486
65.0,65.0,1850.0,280.0,2130.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,1.0,0.0,1.0,1.0,0.59,0.037,0.0,0.682131205917486
66.0,66.0,1817.0,282.0,2099.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,5.0,0.0,3.0,1.0,0.59,0.037,0.0,0.682131205917486
67.0,67.0,1777.0,285.0,2062.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,4.0,0.0,1.0,1.0,0.59,0.037,0.0,0.682131205917486
68.0,68.0,1742.0,287.0,2029.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,2.0,0.0,0.0,1.0,0.59,0.037,0.0,0.682131205917486
69.0,69.0,1720.0,288.0,2008.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,2.0,0.0,1.0,1.0,0.59,0.037,0.0,0.682131205917486
70.0,70.0,1687.0,288.0,1975.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,2.0,0.0,2.0,1.0,0.59,0.037,0.0,0.682131205917486
71.0,71.0,1652.0,288.0,1940.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,0.0,0.0,0.0,1.0,0.59,0.037,0.0,0.682131205917486
